"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX824169","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5749.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803786","","218.7","1","3001814","606366428","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824169","G5749.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824168","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5932.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803785","","129.59","1","1173772","237101944","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824168","G5932.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824167","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4725.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803784","","331.11","1","4624376","934123952","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824167","G4725.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824166","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4748.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803783","","371.58","1","4940847","998051094","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824166","G4748.1.l1-G4748.1.l2","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824165","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5178.4","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803782","","177.72","1","1538056","310687312","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824165","G5178.4.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824164","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5045.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803781","","331.73","1","3909870","789793740","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824164","G5045.2.l1-G5045.2.l2","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824163","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4555.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803780","","131.53","1","1709856","345390912","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824163","G4555.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824162","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4812.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803779","","257.72","1","3622723","731790046","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824162","G4812.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824161","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5044.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803778","","175.92","1","2334289","471526378","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824161","G5044.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824160","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5502.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803777","","210.1","1","1847347","373164094","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824160","G5502.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824159","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5896.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803776","","136.68","1","1259058","254329716","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824159","G5896.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824158","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3810.4","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803775","","113.63","1","984983","198966566","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824158","G3810.4.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824157","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5301.4","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803774","","132.54","1","1160757","234472914","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824157","G5301.4.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824156","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5844.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803773","","61.5","1","545171","110124542","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824156","G5844.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824155","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLBOO0385.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803772","","170.8","1","1564079","315943958","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824155","SLBOO0385.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824154","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4561.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803771","","201.31","1","2775724","560696248","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824154","G4561.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824153","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3909.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803770","","117.69","1","1097804","221756408","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824153","G3909.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824152","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4971.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803769","","317.05","1","4303331","869272862","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824152","G4971.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824151","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5320.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803768","","215.05","1","1862021","376128242","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824151","G5320.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX733663","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3682-1","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722187","","13.8","1","89972","26991600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733663","G3682-3: G3682-1","RNA-Seq","VIRAL RNA","other"
"SRX733662","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3677-2","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722186","","15.92","1","103244","30973200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733662","G3677-3: G3677-2","RNA-Seq","VIRAL RNA","other"
"SRX733661","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3677-1","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722185","","14.11","1","95860","28758000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733661","G3677-3: G3677-1","RNA-Seq","VIRAL RNA","other"
"SRX733660","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3676-2","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722184","","16.54","1","109632","32889600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733660","G3676-3: G3676-2","RNA-Seq","VIRAL RNA","other"
"SRX733659","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3682-1","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722187","","1.73","1","11190","3357000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733659","G3682-1: G3682-1","RNA-Seq","VIRAL RNA","cDNA"
"SRX733658","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3677-2","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722186","","0.96","1","5776","1732800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733658","G3677-2: G3677-2","RNA-Seq","VIRAL RNA","cDNA"
"SRX733657","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3677-1","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722185","","1.16","1","7243","2172900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733657","G3677-1: G3677-1","RNA-Seq","VIRAL RNA","cDNA"
"SRX733656","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3676-2","Zaire ebolavirus","Illumina MiSeq","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS722184","","1.05","1","6595","1978500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX733/SRX733656","G3676-2: G3676-2","RNA-Seq","VIRAL RNA","cDNA"
"SRX691950","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-061","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694119","","120.01","1","1036456","209364112","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691950","WM-061","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691949","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-060","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694118","","132.43","1","1148343","231965286","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691949","WM-060","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691948","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-059","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694117","","80.38","1","703501","142107202","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691948","WM-059","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691947","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-058","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694116","","120.96","1","1061467","214416334","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691947","WM-058","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691946","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-057","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694115","","42.24","1","364817","73693034","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691946","WM-057","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691945","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-056","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694114","","140.74","1","1229766","248412732","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691945","WM-056","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691944","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-055","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694113","","142.52","1","1251703","252844006","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691944","WM-055","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691943","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-054","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694112","","74.3","1","641643","129611886","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691943","WM-054","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691942","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-053","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694111","","96.98","1","847253","171145106","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691942","WM-053","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691941","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample WM-052","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694109","","276.71","1","2406354","486083508","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691941","WM-052","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691940","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample SM-398","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694110","","54.24","1","480660","97093320","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691940","SM-398","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691939","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample SM-397","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694107","","91.16","1","810471","163715142","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691939","SM-397","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691938","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample SM-396","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694108","","74.36","1","633325","127931650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691938","SM-396","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691937","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample SM-395","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694106","","109.41","1","950492","191999384","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691937","SM-395","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691936","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample NM-040","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694105","","112.63","1","996898","201373396","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691936","NM-040","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691935","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample NM-039","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694104","","80","1","694399","140268598","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691935","NM-039","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691934","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample NM-038","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694103","","110.91","1","978519","197660838","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691934","NM-038","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691933","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample NM-037","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694102","","60.31","1","531300","107322600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691933","NM-037","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691932","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample NM-036","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694101","","170.25","1","1498735","302744470","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691932","NM-036","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691931","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample NM-034","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694100","","159.71","1","1366845","276102690","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691931","NM-034","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691930","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3690-1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694099","","129.8","1","1137013","229676626","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691930","G3690-1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691929","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3689-1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694098","","80.01","1","688682","139113764","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691929","G3689-1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691928","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3688-2B","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694097","","287.98","1","2512524","507529848","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691928","G3688-2B","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691927","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3688-1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694096","","137.33","1","1211860","244795720","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691927","G3688-1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691926","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3685-1B","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694095","","119.56","1","1064349","214998498","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691926","G3685-1B","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691925","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3684-1B","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694094","","65.96","1","577511","116657222","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691925","G3684-1B","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691924","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3678-1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694093","","78.44","1","684764","138322328","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691924","G3678-1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691923","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3666-1B","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694092","","217.37","1","1903012","384408424","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691923","G3666-1B","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691922","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample G3497-1B","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694091","","192.33","1","1700686","343538572","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691922","G3497-1B","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691921","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample EM-099","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694090","","92.46","1","795205","160631410","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691921","EM-099","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691920","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample EM-097B","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694089","","211.61","1","1849329","373564458","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691920","EM-097B","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691919","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample EM-092","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694088","","81.01","1","705606","142532412","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691919","EM-092","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691918","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample EM-091","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694087","","112.92","1","988823","199742246","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691918","EM-091","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691917","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample EM-089","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694086","","72.06","1","627013","126656626","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691917","EM-089","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX691916","Suspected EVD genome sequencing from 2014 outbreak in Sierra Leone: Sample EM-083","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS694085","","39.21","1","340637","68808674","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX691/SRX691916","EM-083","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX674272","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS677968","","23.79","1","219837","44407074","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX674/SRX674272","NM042.3.ADXX","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX674271","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS677968","","51.53","1","464802","93890004","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX674/SRX674271","NM042.3.FCH9","RNA-Seq","TRANSCRIPTOMIC","cDNA"
